function,category,original_line,current_line,variants
function_401000,保留原反编译函数体,8585,8988,1
function_401010,保留原反编译函数体,8595,8998,1
function_401040,已修改／替换的非空实现,8611,9014,1
function_4011b0,已修改／替换的非空实现,8679,9082,2
function_4013d0,已修改／替换的非空实现,8788,9210,1
function_4014d0,保留原反编译函数体,8847,9269,1
function_401600,已修改／替换的非空实现,8880,9302,1
function_401660,已修改／替换的非空实现,8905,9330,1
function_4016e0,已修改／替换的非空实现,8956,9370,1
function_401740,保留原反编译函数体,8992,9406,1
function_401760,已修改／替换的非空实现,9002,9416,1
function_401790,已修改／替换的非空实现,9015,9443,1
function_4017b0,已修改／替换的非空实现,9022,9455,3
function_401820,已修改／替换的非空实现,9057,9487,1
function_401850,保留原反编译函数体,9065,9509,1
function_401a30,保留原反编译函数体,9175,9619,1
function_401ae0,已修改／替换的非空实现,9190,9634,1
function_401ba0,保留原反编译函数体,9208,9680,1
function_401da0,保留原反编译函数体,9360,9832,1
function_401dc0,已修改／替换的非空实现,9367,9839,1
function_401e60,保留原反编译函数体,9400,9872,1
function_401ee0,保留原反编译函数体,9412,9884,1
function_401f80,已修改／替换的非空实现,9551,10023,1
function_4021e0,已修改／替换的非空实现,9923,10395,1
function_402230,保留原反编译函数体,9960,10432,1
function_402290,保留原反编译函数体,9994,10466,1
function_4022f0,保留原反编译函数体,10013,10485,1
function_402310,保留原反编译函数体,10034,10506,1
function_402360,保留原反编译函数体,10086,10558,1
function_402430,保留原反编译函数体,10157,10629,1
function_402610,保留原反编译函数体,10410,10882,1
function_402670,保留原反编译函数体,10441,10913,1
function_4026e0,已修改／替换的非空实现,10480,10952,1
function_402770,已修改／替换的非空实现,10505,10974,1
function_4028d0,已修改／替换的非空实现,10673,11078,1
function_402930,保留原反编译函数体,10721,11108,1
function_402970,已修改／替换的非空实现,10730,11117,1
function_4029b0,保留原反编译函数体,10755,11134,1
function_4029d0,保留原反编译函数体,10763,11142,1
function_4029f0,保留原反编译函数体,10780,11159,1
function_402a10,保留原反编译函数体,10791,11170,1
function_402a20,保留原反编译函数体,10800,11179,1
function_402a50,保留原反编译函数体,10812,11191,1
function_402aa0,已修改／替换的非空实现,10824,11203,1
function_402ac0,保留原反编译函数体,10831,11221,1
function_402ad0,原版即为简单返回／空函数,10838,11228,1
function_402af0,已修改／替换的非空实现,10844,11234,1
function_402b90,已修改／替换的非空实现,10855,11245,1
function_4a96d0,已修改／替换的非空实现,10875,11265,3
function_402d30,原版即为简单返回／空函数,10952,11348,1
function_402d40,已修改／替换的非空实现,10958,11389,1
function_403000,已修改／替换的非空实现,10989,11504,1
function_4a9a30,已修改／替换的非空实现,10995,120378,2
function_40bf10,已修改／替换的非空实现,11021,23675,1
function_40c560,已修改／替换的非空实现,11376,24021,1
function_403790,保留原反编译函数体,11798,11511,1
function_4037e0,保留原反编译函数体,11808,11521,1
function_403820,保留原反编译函数体,11817,11530,2
function_403830,保留原反编译函数体,11824,11537,1
function_4038c0,已修改／替换的非空实现,11908,11752,1
function_4039e0,已修改／替换的非空实现,11998,11794,4
function_403a90,保留原反编译函数体,12053,11836,1
function_403ad0,保留原反编译函数体,12063,11846,1
function_403b90,保留原反编译函数体,12092,11875,1
function_403bf0,已修改／替换的非空实现,12119,11902,1
function_403ce0,已修改／替换的非空实现,12198,11728,4
function_403db6,保留原反编译函数体,12237,12010,1
function_403dbc,已修改／替换的非空实现,12244,12018,1
function_403e50,未找到同名入口，待核对替代,12269,,0
function_403e80,保留原反编译函数体,12284,12035,1
function_403f00,保留原反编译函数体,12300,12051,1
function_403f20,保留原反编译函数体,12310,12061,1
function_403fc0,保留原反编译函数体,12400,12151,1
function_403fe0,保留原反编译函数体,12409,12160,1
function_404040,保留原反编译函数体,12447,12198,1
function_404090,保留原反编译函数体,12460,12211,1
function_4040d0,已修改／替换的非空实现,12471,12222,1
function_404130,已修改／替换的非空实现,12479,12228,1
function_404180,保留原反编译函数体,12487,12234,1
function_404230,保留原反编译函数体,12533,12280,1
function_404270,保留原反编译函数体,12556,12303,1
function_404390,已修改／替换的非空实现,12618,12365,1
function_477160,已修改／替换的非空实现,12622,146129,1
function_404430,已修改／替换的非空实现,12644,12386,1
function_474000,已修改／替换的非空实现,12648,139996,1
function_4044d0,保留原反编译函数体,12670,12407,1
function_4045c0,已修改／替换的非空实现,12761,12498,2
function_404610,保留原反编译函数体,12800,12508,1
function_404640,保留原反编译函数体,12809,12517,1
