function,category,original_line,current_line,variants
function_401000,保留原反编译函数体,8585,7881,1
function_401010,保留原反编译函数体,8595,7891,1
function_401040,已修改／替换的非空实现,8611,7907,1
function_4011b0,已修改／替换的非空实现,8679,7975,2
function_4013d0,已修改／替换的非空实现,8788,8103,1
function_4014d0,保留原反编译函数体,8847,8162,1
function_401600,已修改／替换的非空实现,8880,8195,1
function_401660,已修改／替换的非空实现,8905,8223,1
function_4016e0,已修改／替换的非空实现,8956,8263,1
function_401740,保留原反编译函数体,8992,8299,1
function_401760,已修改／替换的非空实现,9002,8309,1
function_401790,已修改／替换的非空实现,9015,8336,1
function_4017b0,已修改／替换的非空实现,9022,8348,3
function_401820,已修改／替换的非空实现,9057,8380,1
function_401850,保留原反编译函数体,9065,8402,1
function_401a30,保留原反编译函数体,9175,8512,1
function_401ae0,已修改／替换的非空实现,9190,8527,1
function_401ba0,保留原反编译函数体,9208,8573,1
function_401da0,保留原反编译函数体,9360,8725,1
function_401dc0,已修改／替换的非空实现,9367,8732,1
function_401e60,保留原反编译函数体,9400,8765,1
function_401ee0,保留原反编译函数体,9412,8777,1
function_401f80,已修改／替换的非空实现,9551,8916,1
function_4021e0,已修改／替换的非空实现,9923,9288,1
function_402230,保留原反编译函数体,9960,9325,1
function_402290,保留原反编译函数体,9994,9359,1
function_4022f0,保留原反编译函数体,10013,9378,1
function_402310,保留原反编译函数体,10034,9399,1
function_402360,保留原反编译函数体,10086,9451,1
function_402430,保留原反编译函数体,10157,9522,1
function_402610,保留原反编译函数体,10410,9775,1
function_402670,保留原反编译函数体,10441,9806,1
function_4026e0,已修改／替换的非空实现,10480,9845,1
function_402770,已修改／替换的非空实现,10505,9867,1
function_4028d0,已修改／替换的非空实现,10673,9971,1
function_402930,保留原反编译函数体,10721,10001,1
function_402970,已修改／替换的非空实现,10730,10010,1
function_4029b0,未找到同名入口，待核对替代,10755,,0
function_4029d0,保留原反编译函数体,10763,10032,1
function_4029f0,保留原反编译函数体,10780,10049,1
function_402a10,保留原反编译函数体,10791,10060,1
function_402a20,保留原反编译函数体,10800,10069,1
function_402a50,未找到同名入口，待核对替代,10812,,0
function_402aa0,已修改／替换的非空实现,10824,10084,1
function_402ac0,保留原反编译函数体,10831,10102,1
function_402ad0,原版即为简单返回／空函数,10838,10109,1
function_402af0,已修改／替换的非空实现,10844,10115,1
function_402b90,已修改／替换的非空实现,10855,10126,1
function_4a96d0,已修改／替换的非空实现,10875,10146,2
function_402d30,原版即为简单返回／空函数,10952,10229,1
function_402d40,已修改／替换的非空实现,10958,10270,1
function_403000,已修改／替换的非空实现,10989,10385,1
function_4a9a30,已修改／替换的非空实现,10995,117910,2
function_40bf10,已修改／替换的非空实现,11021,22556,1
function_40c560,已修改／替换的非空实现,11376,22902,1
function_403790,保留原反编译函数体,11798,10392,1
function_4037e0,保留原反编译函数体,11808,10402,1
function_403820,保留原反编译函数体,11817,10411,2
function_403830,保留原反编译函数体,11824,10418,1
function_4038c0,已修改／替换的非空实现,11908,10633,1
function_4039e0,已修改／替换的非空实现,11998,10675,4
function_403a90,保留原反编译函数体,12053,10717,1
function_403ad0,保留原反编译函数体,12063,10727,1
function_403b90,保留原反编译函数体,12092,10756,1
function_403bf0,已修改／替换的非空实现,12119,10783,1
function_403ce0,已修改／替换的非空实现,12198,10609,4
function_403db6,保留原反编译函数体,12237,10891,1
function_403dbc,已修改／替换的非空实现,12244,10899,1
function_403e50,未找到同名入口，待核对替代,12269,,0
function_403e80,保留原反编译函数体,12284,10916,1
function_403f00,保留原反编译函数体,12300,10932,1
function_403f20,保留原反编译函数体,12310,10942,1
function_403fc0,保留原反编译函数体,12400,11032,1
function_403fe0,保留原反编译函数体,12409,11041,1
function_404040,保留原反编译函数体,12447,11079,1
function_404090,保留原反编译函数体,12460,11092,1
function_4040d0,已修改／替换的非空实现,12471,11103,1
function_404130,已修改／替换的非空实现,12479,11109,1
function_404180,保留原反编译函数体,12487,11115,1
function_404230,保留原反编译函数体,12533,11161,1
function_404270,保留原反编译函数体,12556,11184,1
function_404390,已修改／替换的非空实现,12618,11246,1
function_477160,已修改／替换的非空实现,12622,142556,1
function_404430,已修改／替换的非空实现,12644,11267,1
function_474000,已修改／替换的非空实现,12648,136423,1
function_4044d0,保留原反编译函数体,12670,11288,1
function_4045c0,已修改／替换的非空实现,12761,11379,2
function_404610,保留原反编译函数体,12800,11389,1
function_404640,保留原反编译函数体,12809,11398,1
function_404770,保留原反编译函数体,12927,11516,1
function_4049c0,保留原反编译函数体,13167,11756,1
function_404bc0,保留原反编译函数体,13379,11968,1
function_404e10,保留原反编译函数体,13619,12208,1
function_404eb0,保留原反编译函数体,13638,12227,1
function_404ee0,保留原反编译函数体,13645,12234,1
function_405040,保留原反编译函数体,13795,12384,1
function_405060,保留原反编译函数体,13804,12393,1
function_405080,保留原反编译函数体,13813,12402,1
function_405140,保留原反编译函数体,13841,12430,1
function_405180,保留原反编译函数体,13856,12445,1
function_4051e0,保留原反编译函数体,13871,12460,1
function_405220,保留原反编译函数体,13886,12475,1
function_405280,保留原反编译函数体,13901,12490,1
function_4052c0,保留原反编译函数体,13916,12505,1
function_405320,保留原反编译函数体,13931,12520,1
function_405720,保留原反编译函数体,14432,13021,1
function_405800,已修改／替换的非空实现,14458,13210,2
function_405900,保留原反编译函数体,14489,13230,2
function_405980,已修改／替换的非空实现,14566,13307,1
function_405990,保留原反编译函数体,14574,13315,1
function_4059c0,保留原反编译函数体,14582,13323,1
function_405a50,保留原反编译函数体,14600,13341,1
function_405aa0,保留原反编译函数体,14616,13357,1
function_405b30,已修改／替换的非空实现,14637,13378,1
function_405bd0,已修改／替换的非空实现,14670,13411,1
function_405c90,保留原反编译函数体,14680,13421,1
function_405d60,已修改／替换的非空实现,14689,13512,1
function_405e30,已修改／替换的非空实现,14765,13521,1
function_405ea0,已修改／替换的非空实现,14785,13557,1
function_405f80,已修改／替换的非空实现,14808,13580,1
function_406180,已修改／替换的非空实现,14894,13666,1
function_4062d0,已修改／替换的非空实现,14971,13743,1
function_406350,保留原反编译函数体,15007,13779,1
function_406360,保留原反编译函数体,15014,13786,1
function_406370,已修改／替换的非空实现,15022,13794,1
function_4065a0,保留原反编译函数体,15091,13863,1
function_4065d0,保留原反编译函数体,15104,13876,1
function_406600,已修改／替换的非空实现,15117,13889,20
function_406670,保留原反编译函数体,15149,13921,1
function_406690,保留原反编译函数体,15159,13931,1
function_4067f0,已修改／替换的非空实现,15270,13964,1
function_406880,保留原反编译函数体,15309,14003,1
function_4068f0,保留原反编译函数体,15401,14095,1
function_406a50,保留原反编译函数体,15437,14131,1
function_406ac0,保留原反编译函数体,15459,14153,1
function_406cc0,已修改／替换的非空实现,15579,14273,1
function_406db0,保留原反编译函数体,15662,14356,1
function_406df0,保留原反编译函数体,15694,14388,1
function_406ee0,保留原反编译函数体,15742,14436,1
function_406fc0,保留原反编译函数体,15999,14693,1
function_407000,保留原反编译函数体,16041,14735,1
function_407070,保留原反编译函数体,16089,14783,1
function_407130,保留原反编译函数体,16131,14825,1
function_407190,保留原反编译函数体,16158,14852,1
function_407210,保留原反编译函数体,16197,14891,1
function_407250,保留原反编译函数体,16222,14916,1
function_407270,保留原反编译函数体,16239,14933,1
function_4072b0,已修改／替换的非空实现,16257,14951,1
function_4072d0,已修改／替换的非空实现,16266,14960,1
function_407300,已修改／替换的非空实现,16276,14977,1
function_407310,保留原反编译函数体,16285,14991,1
function_407340,保留原反编译函数体,16303,15009,1
function_407350,保留原反编译函数体,16311,15017,1
function_407360,已修改／替换的非空实现,16319,15025,1
function_407370,已修改／替换的非空实现,16325,10305,8
function_407450,保留原反编译函数体,16412,15191,1
function_407480,保留原反编译函数体,16422,15201,1
function_4074b0,保留原反编译函数体,16435,15214,1
function_4074c0,保留原反编译函数体,16443,15222,1
function_407500,已修改／替换的非空实现,16461,15403,1
function_4077c0,已修改／替换的非空实现,16754,15696,1
function_4082b0,保留原反编译函数体,18542,17484,1
function_4082d0,保留原反编译函数体,18552,17494,1
function_408320,已修改／替换的非空实现,18572,17514,1
function_4083e0,已修改／替换的非空实现,18656,17597,1
function_408430,已修改／替换的非空实现,18689,17631,1
function_408530,保留原反编译函数体,18787,17729,1
function_408550,保留原反编译函数体,18796,17738,1
function_408590,保留原反编译函数体,18816,17758,1
function_408600,保留原反编译函数体,18846,17788,1
function_408650,已修改／替换的非空实现,18866,17808,1
function_4086e0,已修改／替换的非空实现,18884,17839,1
function_4087b0,已修改／替换的非空实现,18903,17870,1
function_4087e0,已修改／替换的非空实现,18917,17884,1
function_408800,已修改／替换的非空实现,18928,17906,1
function_408830,已修改／替换的非空实现,18944,17922,1
function_408850,已修改／替换的非空实现,18953,17931,1
function_408860,已修改／替换的非空实现,18960,17938,1
function_408870,保留原反编译函数体,18967,17945,1
function_408930,已修改／替换的非空实现,19002,17980,1
