function,category,original_line,current_line,cpp_locations
function_401000,unchanged_decompiled_body,8585,7639,
function_401010,unchanged_decompiled_body,8595,7649,
function_401040,modified_nonempty_body,8611,7665,
function_4011b0,modified_nonempty_body,8679,7733,
function_4013d0,modified_nonempty_body,8788,7861,
function_4014d0,unchanged_decompiled_body,8847,7920,
function_401600,modified_nonempty_body,8880,7953,
function_401660,modified_nonempty_body,8905,7981,
function_4016e0,modified_nonempty_body,8956,8021,
function_401740,unchanged_decompiled_body,8992,8057,
function_401760,modified_nonempty_body,9002,8067,
function_401790,modified_nonempty_body,9015,8094,
function_4017b0,modified_nonempty_body,9022,8106,
function_401820,modified_nonempty_body,9057,8138,
function_401850,unchanged_decompiled_body,9065,8160,
function_401a30,unchanged_decompiled_body,9175,8270,
function_401ae0,modified_nonempty_body,9190,8285,
function_401ba0,unchanged_decompiled_body,9208,8331,
function_401da0,unchanged_decompiled_body,9360,8483,
function_401dc0,modified_nonempty_body,9367,8490,
function_401e60,unchanged_decompiled_body,9400,8523,
function_401ee0,unchanged_decompiled_body,9412,8535,
function_401f80,modified_nonempty_body,9551,8674,
function_4021e0,modified_nonempty_body,9923,9046,
function_402230,unchanged_decompiled_body,9960,9083,
function_402290,unchanged_decompiled_body,9994,9117,
function_4022f0,unchanged_decompiled_body,10013,9136,
function_402310,unchanged_decompiled_body,10034,9157,
function_402360,unchanged_decompiled_body,10086,9209,
function_402430,unchanged_decompiled_body,10157,9280,
function_402610,unchanged_decompiled_body,10410,9533,
function_402670,unchanged_decompiled_body,10441,9564,
function_4026e0,modified_nonempty_body,10480,9603,
function_402770,modified_nonempty_body,10505,9625,
function_4028d0,modified_nonempty_body,10673,9729,
function_402930,unchanged_decompiled_body,10721,9759,
function_402970,modified_nonempty_body,10730,9768,
function_4029b0,cpp_address_replacement,10755,,src/squirrel/squirrel_game_objects.cpp:66
function_4029d0,unchanged_decompiled_body,10763,9790,
function_4029f0,unchanged_decompiled_body,10780,9807,
function_402a10,unchanged_decompiled_body,10791,9818,
function_402a20,unchanged_decompiled_body,10800,9827,
function_402a50,cpp_address_replacement,10812,,src/squirrel/squirrel_game_objects.cpp:72
