function,category,original_line,current_line,cpp_locations
function_401000,unchanged_decompiled_body,8585,7881,
function_401010,unchanged_decompiled_body,8595,7891,
function_401040,modified_nonempty_body,8611,7907,
function_4011b0,modified_nonempty_body,8679,7975,
function_4013d0,modified_nonempty_body,8788,8103,
function_4014d0,unchanged_decompiled_body,8847,8162,
function_401600,modified_nonempty_body,8880,8195,
function_401660,modified_nonempty_body,8905,8223,
function_4016e0,modified_nonempty_body,8956,8263,
function_401740,unchanged_decompiled_body,8992,8299,
function_401760,modified_nonempty_body,9002,8309,
function_401790,modified_nonempty_body,9015,8336,
function_4017b0,modified_nonempty_body,9022,8348,
function_401820,modified_nonempty_body,9057,8380,
function_401850,unchanged_decompiled_body,9065,8402,
function_401a30,unchanged_decompiled_body,9175,8512,
function_401ae0,modified_nonempty_body,9190,8527,
function_401ba0,unchanged_decompiled_body,9208,8573,
function_401da0,unchanged_decompiled_body,9360,8725,
function_401dc0,modified_nonempty_body,9367,8732,
function_401e60,unchanged_decompiled_body,9400,8765,
function_401ee0,unchanged_decompiled_body,9412,8777,
function_401f80,modified_nonempty_body,9551,8916,
function_4021e0,modified_nonempty_body,9923,9288,
function_402230,unchanged_decompiled_body,9960,9325,
function_402290,unchanged_decompiled_body,9994,9359,
function_4022f0,unchanged_decompiled_body,10013,9378,
function_402310,unchanged_decompiled_body,10034,9399,
function_402360,unchanged_decompiled_body,10086,9451,
function_402430,unchanged_decompiled_body,10157,9522,
function_402610,unchanged_decompiled_body,10410,9775,
function_402670,unchanged_decompiled_body,10441,9806,
function_4026e0,modified_nonempty_body,10480,9845,
function_402770,modified_nonempty_body,10505,9867,
function_4028d0,modified_nonempty_body,10673,9971,
function_402930,unchanged_decompiled_body,10721,10001,
function_402970,modified_nonempty_body,10730,10010,
function_4029b0,cpp_address_replacement,10755,,src/squirrel/squirrel_game_objects.cpp:66
function_4029d0,unchanged_decompiled_body,10763,10032,
function_4029f0,unchanged_decompiled_body,10780,10049,
function_402a10,unchanged_decompiled_body,10791,10060,
function_402a20,unchanged_decompiled_body,10800,10069,
function_402a50,cpp_address_replacement,10812,,src/squirrel/squirrel_game_objects.cpp:72
function_402aa0,modified_nonempty_body,10824,10084,
function_402ac0,unchanged_decompiled_body,10831,10102,
function_402ad0,original_short_body,10838,10109,
function_402af0,modified_nonempty_body,10844,10115,
function_402b90,modified_nonempty_body,10855,10126,
function_4a96d0,modified_nonempty_body,10875,10146,src/squirrel/squirrel_host_compat.cpp:163
function_402d30,original_short_body,10952,10229,
function_402d40,modified_nonempty_body,10958,10270,
function_403000,modified_nonempty_body,10989,10385,
function_4a9a30,modified_nonempty_body,10995,117910,src/squirrel/squirrel_host_compat.cpp:229
function_40bf10,modified_nonempty_body,11021,22556,
function_40c560,modified_nonempty_body,11376,22902,
function_403790,unchanged_decompiled_body,11798,10392,
function_4037e0,unchanged_decompiled_body,11808,10402,
function_403820,unchanged_decompiled_body,11817,10411,
function_403830,unchanged_decompiled_body,11824,10418,
function_4038c0,modified_nonempty_body,11908,10633,
function_4039e0,modified_nonempty_body,11998,10675,
function_403a90,unchanged_decompiled_body,12053,10717,
function_403ad0,unchanged_decompiled_body,12063,10727,
function_403b90,unchanged_decompiled_body,12092,10756,
function_403bf0,modified_nonempty_body,12119,10783,
function_403ce0,modified_nonempty_body,12198,10609,
function_403db6,unchanged_decompiled_body,12237,10891,
function_403dbc,modified_nonempty_body,12244,10899,
function_403e50,replacement_mapping_unresolved,12269,,
function_403e80,unchanged_decompiled_body,12284,10916,
function_403f00,unchanged_decompiled_body,12300,10932,
function_403f20,unchanged_decompiled_body,12310,10942,
function_403fc0,unchanged_decompiled_body,12400,11032,
function_403fe0,unchanged_decompiled_body,12409,11041,
function_404040,unchanged_decompiled_body,12447,11079,
function_404090,unchanged_decompiled_body,12460,11092,
function_4040d0,modified_nonempty_body,12471,11103,
function_404130,modified_nonempty_body,12479,11109,
function_404180,unchanged_decompiled_body,12487,11115,
function_404230,unchanged_decompiled_body,12533,11161,
function_404270,unchanged_decompiled_body,12556,11184,
function_404390,modified_nonempty_body,12618,11246,
function_477160,modified_nonempty_body,12622,142556,
function_404430,modified_nonempty_body,12644,11267,
function_474000,modified_nonempty_body,12648,136423,
function_4044d0,unchanged_decompiled_body,12670,11288,
function_4045c0,modified_nonempty_body,12761,11379,
function_404610,unchanged_decompiled_body,12800,11389,
function_404640,unchanged_decompiled_body,12809,11398,
function_404770,unchanged_decompiled_body,12927,11516,
function_4049c0,unchanged_decompiled_body,13167,11756,
function_404bc0,unchanged_decompiled_body,13379,11968,
function_404e10,unchanged_decompiled_body,13619,12208,
function_404eb0,unchanged_decompiled_body,13638,12227,
function_404ee0,unchanged_decompiled_body,13645,12234,
function_405040,unchanged_decompiled_body,13795,12384,
function_405060,unchanged_decompiled_body,13804,12393,
function_405080,unchanged_decompiled_body,13813,12402,
function_405140,unchanged_decompiled_body,13841,12430,
function_405180,unchanged_decompiled_body,13856,12445,
function_4051e0,unchanged_decompiled_body,13871,12460,
function_405220,unchanged_decompiled_body,13886,12475,
function_405280,unchanged_decompiled_body,13901,12490,
function_4052c0,unchanged_decompiled_body,13916,12505,
function_405320,unchanged_decompiled_body,13931,12520,
function_405720,unchanged_decompiled_body,14432,13021,
function_405800,modified_nonempty_body,14458,13210,
function_405900,unchanged_decompiled_body,14489,13230,
function_405980,modified_nonempty_body,14566,13307,
function_405990,unchanged_decompiled_body,14574,13315,
function_4059c0,unchanged_decompiled_body,14582,13323,
function_405a50,unchanged_decompiled_body,14600,13341,
function_405aa0,unchanged_decompiled_body,14616,13357,
function_405b30,modified_nonempty_body,14637,13378,
function_405bd0,modified_nonempty_body,14670,13411,
function_405c90,unchanged_decompiled_body,14680,13421,
function_405d60,modified_nonempty_body,14689,13512,
function_405e30,modified_nonempty_body,14765,13521,
function_405ea0,modified_nonempty_body,14785,13557,
function_405f80,modified_nonempty_body,14808,13580,
function_406180,modified_nonempty_body,14894,13666,
function_4062d0,modified_nonempty_body,14971,13743,
function_406350,unchanged_decompiled_body,15007,13779,
function_406360,unchanged_decompiled_body,15014,13786,
function_406370,modified_nonempty_body,15022,13794,
function_4065a0,unchanged_decompiled_body,15091,13863,
function_4065d0,unchanged_decompiled_body,15104,13876,
function_406600,modified_nonempty_body,15117,13889,
function_406670,unchanged_decompiled_body,15149,13921,
function_406690,unchanged_decompiled_body,15159,13931,
function_4067f0,modified_nonempty_body,15270,13964,
function_406880,unchanged_decompiled_body,15309,14003,
function_4068f0,unchanged_decompiled_body,15401,14095,
function_406a50,unchanged_decompiled_body,15437,14131,
function_406ac0,unchanged_decompiled_body,15459,14153,
function_406cc0,modified_nonempty_body,15579,14273,
function_406db0,unchanged_decompiled_body,15662,14356,
function_406df0,unchanged_decompiled_body,15694,14388,
function_406ee0,unchanged_decompiled_body,15742,14436,
function_406fc0,unchanged_decompiled_body,15999,14693,
function_407000,unchanged_decompiled_body,16041,14735,
function_407070,unchanged_decompiled_body,16089,14783,
function_407130,unchanged_decompiled_body,16131,14825,
function_407190,unchanged_decompiled_body,16158,14852,
function_407210,unchanged_decompiled_body,16197,14891,
function_407250,unchanged_decompiled_body,16222,14916,
function_407270,unchanged_decompiled_body,16239,14933,
function_4072b0,modified_nonempty_body,16257,14951,
function_4072d0,modified_nonempty_body,16266,14960,
function_407300,modified_nonempty_body,16276,14977,
function_407310,unchanged_decompiled_body,16285,14991,
function_407340,unchanged_decompiled_body,16303,15009,
function_407350,unchanged_decompiled_body,16311,15017,
function_407360,modified_nonempty_body,16319,15025,
function_407370,modified_nonempty_body,16325,10305,
function_407450,unchanged_decompiled_body,16412,15191,
function_407480,unchanged_decompiled_body,16422,15201,
function_4074b0,unchanged_decompiled_body,16435,15214,
function_4074c0,unchanged_decompiled_body,16443,15222,
function_407500,modified_nonempty_body,16461,15403,
function_4077c0,modified_nonempty_body,16754,15696,
function_4082b0,unchanged_decompiled_body,18542,17484,
function_4082d0,unchanged_decompiled_body,18552,17494,
function_408320,modified_nonempty_body,18572,17514,
function_4083e0,modified_nonempty_body,18656,17597,
function_408430,modified_nonempty_body,18689,17631,
function_408530,unchanged_decompiled_body,18787,17729,
function_408550,unchanged_decompiled_body,18796,17738,
function_408590,unchanged_decompiled_body,18816,17758,
function_408600,unchanged_decompiled_body,18846,17788,
function_408650,modified_nonempty_body,18866,17808,
function_4086e0,modified_nonempty_body,18884,17839,
function_4087b0,modified_nonempty_body,18903,17870,
function_4087e0,modified_nonempty_body,18917,17884,
function_408800,modified_nonempty_body,18928,17906,
function_408830,modified_nonempty_body,18944,17922,
function_408850,modified_nonempty_body,18953,17931,
function_408860,modified_nonempty_body,18960,17938,
function_408870,unchanged_decompiled_body,18967,17945,
function_408930,modified_nonempty_body,19002,17980,
function_4089c0,modified_nonempty_body,19026,18005,
function_408b10,unchanged_decompiled_body,19131,18039,
function_408b30,modified_nonempty_body,19138,18046,
function_408bf0,modified_nonempty_body,19164,18092,
function_408c80,modified_nonempty_body,19183,18103,
function_408d00,modified_nonempty_body,19256,18140,
function_408e60,modified_nonempty_body,19285,18183,
function_408e80,modified_nonempty_body,19292,18188,
function_408eb0,modified_nonempty_body,19309,18194,
function_409030,original_short_body,19376,18200,
function_4090a0,unchanged_decompiled_body,19382,18206,
function_4090d0,unchanged_decompiled_body,19398,18222,
function_409130,unchanged_decompiled_body,19416,18240,
function_4093b0,unchanged_decompiled_body,19518,18342,
function_4093f0,unchanged_decompiled_body,19531,18355,
function_409450,unchanged_decompiled_body,19555,18379,
function_409480,unchanged_decompiled_body,19576,18400,
function_4094b0,unchanged_decompiled_body,19608,18432,
function_4094e0,unchanged_decompiled_body,19642,18466,
function_409540,unchanged_decompiled_body,19667,18491,
function_409620,unchanged_decompiled_body,19735,18559,
function_4096d0,unchanged_decompiled_body,19765,18589,
function_409840,unchanged_decompiled_body,19868,18692,
function_4098a0,unchanged_decompiled_body,19898,18722,
function_409930,unchanged_decompiled_body,19954,18778,
function_4099c0,unchanged_decompiled_body,19996,18820,
function_409da0,unchanged_decompiled_body,20216,19040,
function_40a0f0,modified_nonempty_body,20528,21074,
function_40a3d0,modified_nonempty_body,20713,21084,
function_40a460,modified_nonempty_body,20733,21139,
function_40a5d0,unchanged_decompiled_body,20886,21174,
function_40a5f0,modified_nonempty_body,20893,21181,
function_40a6c0,modified_nonempty_body,20957,21245,
function_40a7f0,modified_nonempty_body,21009,21297,
function_40a890,modified_nonempty_body,21049,21337,
function_40a8d0,modified_nonempty_body,21064,21352,
function_40a950,modified_nonempty_body,21099,21387,
function_40a9a0,modified_nonempty_body,21118,21406,
function_40a9f0,modified_nonempty_body,21137,21425,
function_40aaa0,modified_nonempty_body,21198,21436,
function_40aac0,modified_nonempty_body,21210,21451,
function_40aae0,modified_nonempty_body,21221,21476,
function_40adb0,modified_nonempty_body,21545,21488,
function_40ae70,modified_nonempty_body,21592,21535,
function_40af70,unchanged_decompiled_body,21712,21655,
function_40af80,unchanged_decompiled_body,21722,21665,
function_40afb0,unchanged_decompiled_body,21735,21678,
function_40afe0,modified_nonempty_body,21750,21693,
function_40b160,modified_nonempty_body,21859,21802,
function_40b210,modified_nonempty_body,21921,21864,
function_40b2c0,unchanged_decompiled_body,21964,21907,
